ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	SOURCE	PROTOSET	CONCEPTINSOURCE	UNCERTAINCOGNACY
2769	Cavinena	*2da persona	mi-ke	mi-ke	m i + k e		312		292	Vd. (intr.),tú (intr.)	
2770	Cavinena	*2da persona	mi-ta	mi-ta	m i + t a		312		292	usted solo,usted mismo	
2771	Cavinena	*2da persona	miaceve	miaceve	m i a ts e β e		312	Armentia1887	292	contigo	
2772	Cavinena	*2da persona	mi-kwe	mi-kwe	m i + kʷ e		312		292	de Vd.	
2773	Cavinena	*2da persona	mi-kwana-ha	mi-kwana-ha	m i + kʷ a n a + h a		312		292	de Vds.	
2774	EseEjja	*2da persona	mi-a	mi-a	m i + a		312		292	usted	
2775	EseEjja	*2da persona	mi-keana-ya	mi-keana-ya	m i + k e a n a + j a		312		292	ustedes	
2776	EseEjja	*2da persona	mi-ya-ya	mi-ya-ya	m i + j a + j a		312		292	usted	
2777	EseEjja	*2da persona	mi-kea	mi-kea	m i + k e a		312		292	suyo	
2778	Arasa	*2da persona	mikía	mikía	m i k í/i a		312		292	tu	
4029	ProtoTakana	*3ra persona	tu-	tu-	t u		442		431	3ra person	
4030	Tacana	*3ra persona	tuaceda	tuaceda	t u a ʈʂ e d a		442		431	ellos (dual)	
4031	Tacana	*3ra persona	tuacesa	tuacesa	t u a ʈʂ e s a		442		431	sus (dual)	
4032	Tacana	*3ra persona	tuace-seda	tuace-seda	t u a ʈʂ e + s e d a		442		431	de ellos (dual)	
4033	Tacana	*3ra persona	tuaweda	tuaweda	t u a β e d a		442		431	él (trans.),ella (trans.)	
4034	Tacana	*3ra persona	tueda	tueda	t u e d a		442		431	él (intr.),ella (intr.),eso	
4035	Tacana	*3ra persona	tuneda	tuneda	t u n e d a		442		431	ellos	
4036	Tacana	*3ra persona	tunasa	tunasa	t u n a s a		442		431	sus (pl.)	
4037	Tacana	*3ra persona	tuneseda	tuneseda	t u n e s e d a		442		431	de ellos,suyos (pl.)	
4038	Tacana	*3ra persona	tunehe	tunehe	t u n e h e		442		431	con él	
4039	Tacana	*3ra persona	tuseda	tuseda	t u s e d a		442		431	de él,suyo	
4040	Tacana	*3ra persona	tusa	tusa	t u s a		442		431	su	
4041	Tacana	*3ra persona	tuna-mewa	tuna-mewa	t u n a + m e w a		442		431	ellos solos	
4042	Reyesano	*3ra persona	tetowe~tetoe	tetowe	t e t o w e		442		431	he	
4043	Reyesano	*3ra persona	tonabhe	tonabhe	t o n a β e		442		431	they	
4044	Maropa	*3ra persona	tuve	tuve	t u β e		442	Heath1883	431	he	
4045	Maropa	*3ra persona	tunave	tunave	t u n a β e		442	Heath1883	431	they	
4046	Cavinena	*3ra persona	tora	tora	t o r a		442		431	él (trans.)	
4047	Cavinena	*3ra persona	todyanokadya	todyanokadya	t o d j a n o k a d j a		442		431	ese mismo,otra vez	
4048	Cavinena	*3ra persona	toeka	toeka	t o e k a		442		431	de allá	
4049	Cavinena	*3ra persona	toekekamadya	toekekamadya	t o e k e k a m a d j a		442		431	por allí	
4050	Cavinena	*3ra persona	tokeha	tokeha	t o k e h a		442		431	por allá	
4051	Cavinena	*3ra persona	tome	tome	t o m e		442		431	allá	
4052	Cavinena	*3ra persona	towake	towake	t o w a k e		442		431	allí,de ahi	
4053	Cavinena	*3ra persona	toha	toha	t o h a		442		431	su (de él)	
4054	Cavinena	*3ra persona	toke	toke	t o k e		442		431	él (intr.)	
4055	Cavinena	*3ra persona	toke kamadya	toke_kamadya	t o k e + k a m a d j a		442		431	único,ese no más	
4056	Cavinena	*3ra persona	tona	tona	t o n a		442		431	ellos (intr.)	
4057	Cavinena	*3ra persona	tonara	tonara	t o n a r a		442		431	ellos (trans.)	
4058	Cavinena	*3ra persona	tonaha	tonaha	t o n a h a		442		431	su (de ellos)	
4059	Cavinena	*3ra persona	tota	tota	t o t a		442		431	él solo	
4060	Cavinena	*3ra persona	totataka	totataka	t o t a t a k a		442		431	él solito	
4061	EseEjja	*3ra persona	koya	koya	k o j a		442		431	ese	
934	ProtoTakana	*abajo	bu-	bu-	b u		121		78	abajo	
935	Tacana	*abajo	ena-bu-e	ena-bu-e	e n a + b u + e		121		78	pozo en el río,remanso	
936	Cavinena	*abajo	kwa-bo-	kwa-bo-	kʷ a + b o	go+down	121		78	tropezar	
2419	ProtoTakana	*abajo	ma-	ma-	m a		280		255	abajo	
2420	Tacana	*abajo	e-ma-su	e-ma-su	e + m a + s u		280		255	abajo,debajo	
2421	Tacana	*abajo	e-ma-he	e-ma-he	e + m a + h e		280		255	por abajo	
2422	Sapibokona	*abajo	emabuzu	emabuzu	e m a b u ɽ u		280		255	giù	
2423	Cavinena	*abajo	e-ma-ke	e-ma-ke	e + m a + k e		280		255	abajo	
2424	Cavinena	*abajo	ma-ho-	ma-ho-	m a + h o		280		255	morir	
2425	Cavinena	*abajo	ma-ho-ya	ma-ho-ya	m a + h o + j a		280		255	la muerte	
2426	Cavinena	*abajo	e-ma-ho	e-ma-ho	e + m a + h o		280		255	muerrto	
2427	Cavinena	*abajo	e-ma-ho-kani	e-ma-ho-kani	e + m a + h o + k a n i		280		255	tumba	
2428	Cavinena	*abajo	e-ma-ho-ke	e-ma-ho-ke	e + m a + h o + k e		280		255	muerto,finado,difunto	
2429	Cavinena	*abajo	e-ma-ho-ke caʔo	e-ma-ho-ke_caʔo	e + m a + h o + k e + ts a ʔ o		280		255	esqueleto	
2430	Cavinena	*abajo	e-awe-ma-ho-ke	e-awe-ma-ho-ke	e + a β e + m a + h o + k e		280		255	viuda	
2431	Cavinena	*abajo	ma-ho-aki	ma-ho-aki	m a + h o + a k i		280	Armentia1887	255	mortal	
2432	Cavinena	*abajo	ma-hue-tare	ma-hue-tare	m a + h u e + t a r e		280	Armentia1887	255	hospital	
2433	Cavinena	*abajo	ma-hu-kini	ma-hu-kini	m a + h u + k i n i		280	Armentia1887	255	panteón	
2434	Cavinena	*abajo	ma-hu-ma	ma-hu-ma	m a + h u + m a		280	Armentia1887	255	sano,salud	
2435	Cavinena	*abajo	ma-hu-mere	ma-hu-mere	m a + h u + m e r e		280	Armentia1887	255	sofocar	
2436	Cavinena	*abajo	ma-hu-ya	ma-hu-ya	m a + h u + j a		280	Armentia1887	255	enfermo	
2437	EseEjja	*abajo	maʔahe	maʔahe	m a ʔ a h e		280		255	he allí	
2438	EseEjja	*abajo	mahotii	mahotii	m a h o t i i		280		255	ahí,está	
2439	ProtoTakana	*abajo	makwa	makwa	m a kʷ a		291		255	abajo	
2440	Tacana	*abajo	e-makwa-wa	e-makwa-wa	e + m a kʷ a + w a		291		255	abajo (dirección en que corre los ríos)	
2441	Tacana	*abajo	e-makwa-wa-bene	e-makwa-wa-bene	e + m a kʷ a + w a + b e n e		291		255	este (al lado de abajo)	
2442	EseEjja	*abajo	makwa-wa-sixe	makwa-wa-sixe	m a kʷ a + w a + s i x e		291		255	hacia abajo	
2443	Huarayo	*abajo	makwaba	makwaba	m a kʷ a b a		291		255	abajo	
2444	Huarayo	*abajo	makwabahasihi	makwabahasihi	m a kʷ a b a h a s i h i		291		255	para abajo	
3962	ProtoTakana	*abajo	ti+...	ti+...	t i		425		421	abajo	
3963	Tacana	*abajo	e-ti-pe-su	e-ti-pe-su	e + t i + p e + s u		425		421	atrás de	
3964	Tacana	*abajo	e-ti-bu-ki-ani	e-ti-bu-ki-ani	e + t i + b u + k i + a n i		425	Armentia1887	421	está persiguiendo,le va detrás	
3965	Cavinena	*abajo	ti-ba-boti-a	ti-ba-boti-a	t i + b a + b o t i + a		425		421	río abajo	
3966	Cavinena	*abajo	e-ti-weso	e-ti-weso	e + t i + β e s o		425		421	barranco,bajada	
3967	Cavinena	*abajo	e-ti-weso-hocora	e-ti-weso-hocora	e + t i + β e s o + h o ts o r a		425		421	subida del barranco	
3968	EseEjja	*abajo	e-ki-mexexe	e-ki-mexexe	e + k i + m e x e x e		425		421	debajo	
3969	EseEjja	*abajo	xa-ki-piši-ki-	xa-ki-piši-ki-	x a + k i + p i ʃ i + k i		425		421	resbalarse	
3970	EseEjja	*abajo	e-ki-ani-xi	e-ki-ani-xi	e + k i + a n i + x i		425		421	banco	
328	ProtoTakana	*abeja	atata	atata	a t a t a		49		22	abeja	
329	Tacana	*abeja	atata	atata	a t a t a		49		22	barbón (abeja chica)	
330	Cavinena	*abeja	atata-waha	atata-waha	a t a t a + w a h a		49		22	clase de abeja	
4406	ProtoTakana	*abeja,miel	wasa	wasa	w a s a		476		468	abeja,miel	
4407	Tacana	*abeja,miel	wasa iře	wasa_iře	w a s a + i ɽ e		476		468	abeja	
4408	Tacana	*abeja,miel	y-awa-wasa	y-awa-wasa	j + a w a + w a s a		476		468	abeja de la tierra	
4409	Tacana	*abeja,miel	wasa ena	wasa_ena	w a s a + e n a		476		468	miel	
4410	Reyesano	*abeja,miel	wadha	wadha	w a ð a		476		468	bee,honey	
4411	Sapibokona	*abeja,miel	uvazaena	uvazaena	u β a ɽ a e n a		476		468	miele	
4412	Cavinena	*abeja,miel	waha	waha	w a h a		476		468	miel de abeja	
4413	Cavinena	*abeja,miel	waha-kono	waha-kono	w a h a + k o n o		476		468	chamayro (bejuco)	
4414	Cavinena	*abeja,miel	waha-da	waha-da	w a h a + d a		476		468	dulce	
4415	Cavinena	*abeja,miel	waha-da-ke	waha-da-ke	w a h a + d a + k e		476		468	dulce,jane (pulpa)	
4416	Cavinena	*abeja,miel	atata-waha	atata-waha	a t a t a + w a h a		476		468	clase de abeja	
4417	Cavinena	*abeja,miel	waha-tare	waha-tare	w a h a + t a r e		476	Armentia1887	468	enjambre	
4379	ProtoTakana	*abejo	wanu	wanu	w a n u		472		462	abejo	
4380	Tacana	*abejo	wanu-wanu	wanu-wanu	w a n u + w a n u		472		462	erereú (abeja)	
4381	Cavinena	*abejo	wano-wano	wano-wano	w a n o + w a n o		472		462	abejo	
1927	ProtoTakana	*abrir	jea-	jea-	ʃ e a		226		186	abrir	
1928	Tacana	*abrir	řia-	řia-	ɽ i a		226		186	abrir	
1929	EseEjja	*abrir	šea-	šea-	ʃ e a		226		186	abrir (el libro)	
1930	Huarayo	*abrir	šea-	šea-	ʃ e a		226		186	abrir	
1596	ProtoTakana	*absolutive prefix	e-	e-	e		191		149	absolutive prefix	
1597	Tacana	*absolutive prefix	e-	e-	e		191		149	absolutive prefix	
1598	Cavinena	*absolutive prefix	e-	e-	e		191		149	absolutive prefix	
1599	EseEjja	*absolutive prefix	e-	e-	e		191		149	absolutive prefix	
519	ProtoTakana	*abuelo	baba	baba	b a b a		65		33	abuelo	
520	Tacana	*abuelo	baba	baba	b a b a		65		33	hombre viejo	
521	Tacana	*abuelo	e-baba-ce	e-baba-ce	e + b a b a + ʈʂ e		65		33	su abuelo	
522	Araona	*abuelo	baba xiodi	baba_xiodi	b a b a + x i o d i		65	Créqui1922	33	chef du village	
523	Araona	*abuelo	baba buada	baba_buada	b a b a + b u a d a		65	Créqui1922	33	dieu créateur	
524	Cavinena	*abuelo	baba-kwana	baba-kwana	b a b a + kʷ a n a		65		33	antiguos,antecesores	
525	Cavinena	*abuelo	e-baba	e-baba	e + b a b a		65		33	abuelo	
526	Cavinena	*abuelo	e-baba-ekana	e-baba-ekana	e + b a b a + e k a n a		65		33	abuelos	
527	EseEjja	*abuelo	baba	baba	b a b a		65		33	abuelo,suegro	
528	EseEjja	*abuelo	babaʔai	babaʔai	b a b a ʔ a i		65		33	sucha colorada (pez)	
529	Chama	*abuelo	bába	bába	b á/a b a		65		33	grandfather	
530	Tiatinahua	*abuelo	bapba	bapba	b a p b a		65	Fast	33	uncle	
2464	ProtoTakana	*achiote	mace	mace	m a ʈʂ e		281		258	achiote	
2465	Tacana	*achiote	mace	mace	m a ʈʂ e		281		258	achiote,urucú	
2466	Tacana	*achiote	mace bakwa	mace_bakwa	m a ʈʂ e + b a kʷ a		281		258	víbora coral	
2467	Cavinena	*achiote	e-mace	e-mace	e + m a ts e		281		258	achiote	
2468	Cavinena	*achiote	e-mace-bakwa	e-mace-bakwa	e + m a ts e + b a kʷ a		281		258	clase de víbora de color rojo	
655	ProtoTakana	*acomodar	basa(i)-	basa-	b a s a		85		49	acomodar	
656	Tacana	*acomodar	basa-ita-	basa-ita-	b a s a + i t a		85		49	acomodar,arreglar	
657	Tacana	*acomodar	basa-ita-hi-hi	basa-ita-hi-hi	b a s a + i t a + h i + h i		85	Armentia1887	49	adornado,compuesto	
658	Tacana	*acomodar	baseta~basaita	baseta	b a s e t a		85	Armentia1887	49	componer	
659	Tacana	*acomodar	basia	basia	b a s i a		85	Armentia1887	49	entretener	
660	Cavinena	*acomodar	bahehe-	bahehe-	b a h e h e		85		49	acomodar,limpiar,componer	
661	Cavinena	*acomodar	e-bahehe	e-bahehe	e + b a h e h e	*basai+i?	85		49	acomodado	
3221	ProtoTakana	*acompañar	peře	peře	p e ɽ e		364		342	acompañar	
3222	Tacana	*acompañar	e-pere-hi	e-pere-hi	e + p e r e + h i		364		342	amigo	
3223	Tacana	*acompañar	pere-pere-ti-	pere-pere-ti-	p e r e + p e r e + t i		364		342	andar a pasear	
3224	Tacana	*acompañar	pere-pere	pere-pere	p e r e + p e r e		364	Armentia1887	342	visitar	
3225	Maropa	*acompañar	eperéxe	eperéxe	e p e r é/e x e		364	Heath1883	342	friend	
3226	Cavinena	*acompañar	e-pere	e-pere	e + p e r e		364	Armentia1887	342	costado	
3227	Cavinena	*acompañar	e-pere-ki	e-pere-ki	e + p e r e + k i		364	Armentia1887	342	inseparable	
3228	EseEjja	*acompañar	e-xa-pee-ki	e-xa-pee-ki	e + x a + p e e + k i		364		342	amigo	
3229	EseEjja	*acompañar	pee-	pee-	p e e		364		342	acompañar	
3230	EseEjja	*acompañar	xa-pee-ki-	xa-pee-ki-	x a + p e e + k i		364		342	visitar	
3231	EseEjja	*acompañar	beka-pee-	beka-pee-	b e k a + p e e		364		342	acompañar	
3232	EseEjja	*acompañar	iña-pee-	iña-pee-	i ɲ a + p e e		364		342	apretar	
3233	EseEjja	*acompañar	iya-pee-	iya-pee-	i j a + p e e		364		342	separar	
3506	ProtoTakana	*acostar,echarse	sa-	sa-	s a		383		374	acostar,echarse	
3507	Tacana	*acostar,echarse	sa-ti-	sa-ti-	s a + t i		383		374	acostar,echarse	
3508	Tacana	*acostar,echarse	sa-ʔute-	sa-ʔute-	s a + ʔ u t e		383		374	agacharse	
3509	Tacana	*acostar,echarse	sa-na-	sa-na-	s a + n a		383		374	echarse	
3510	Tacana	*acostar,echarse	sa-ude	sa-ude	s a + u d e		383		374	cama tendida	
3511	Tacana	*acostar,echarse	sa-dera-	sa-dera-	s a + d e r a		383		374	apartar (cuando está echado)	
3512	Tacana	*acostar,echarse	e-sa-hi	e-sa-hi	e + s a + h i		383		374	nido	
3513	Tacana	*acostar,echarse	e-sa	e-sa	e + s a		383	Armentia1887	374	estar echado	
3514	Tacana	*acostar,echarse	e-sa-nubi-neti	e-sa-nubi-neti	e + s a + n u b i + n e t i		383	Armentia1887	374	estar flotando	
3515	Tacana	*acostar,echarse	e-sa-nubi	e-sa-nubi	e + s a + n u b i		383	Armentia1887	374	gallina clueca	
3516	Tacana	*acostar,echarse	sa-na-sa-na	sa-na-sa-na	s a + n a + s a + n a		383	Armentia1887	374	recostarse	
3517	Tacana	*acostar,echarse	e-sa-na	e-sa-na	e + s a + n a		383	Armentia1887	374	campo	
3518	Cavinena	*acostar,echarse	e-ha	e-ha	e + h a		383		374	nido,pañal	
3519	Cavinena	*acostar,echarse	ha-ka	ha-ka	h a + k a		383	Armentia1887	374	desanidar	
3520	Cavinena	*acostar,echarse	ha-ra-	ha-ra-	h a + r a		383		374	echarse,acostar,dejar	
3521	EseEjja	*acostar,echarse	haa-	haa-	h a a		383		374	acostar,echarse	
3522	EseEjja	*acostar,echarse	haa-mee-	haa-mee-	h a a + m e e		383		374	calmar	
3523	EseEjja	*acostar,echarse	haa-oke-	haa-oke-	h a a + o k e		383		374	agacharse	
3524	EseEjja	*acostar,echarse	haa-wa-	haa-wa-	h a a + w a		383		374	cuidar,guardar	
3525	EseEjja	*acostar,echarse	e-haa-wa-naxi	e-haa-wa-naxi	e + h a a + w a + n a x i		383		374	cuidante	
3526	EseEjja	*acostar,echarse	haa-ña-ki-	haa-ña-ki-	h a a + ɲ a + k i		383		374	encallar	
3527	EseEjja	*acostar,echarse	e-sapa-haa-xi	e-sapa-haa-xi	e + s a p a + h a a + x i	N.B. All the Ese. forms would appear to come from *sara-, cf. Kav. form above.	383		374	almohada	
1508	ProtoTakana	*adentro,en	duku	duku	d u k u		185		140	adentro,en	
1509	Tacana	*adentro,en	e-duhu-su	e-duhu-su	e + d u h u + s u		185		140	entre medio	
1510	Tacana	*adentro,en	e-me-duhu-	e-me-duhu-	e + m e + d u h u		185		140	empuñar	
1511	Tacana	*adentro,en	duhu	duhu	d u h u		185	Armentia1887	140	entre	
1512	Tacana	*adentro,en	duhu-su	duhu-su	d u h u + s u		185	Armentia1887	140	adentro de entre,en el centro	
1513	Guariza	*adentro,en	ec̹eme-rˈuzu	ec̹eme-rˈuzu	e ʈʂ e m e + r u s u		185		140	of thy womb	
1514	Cavinena	*adentro,en	e-doko-ho	e-doko-ho	e + d o k o + h o		185		140	adentro	
1515	Cavinena	*adentro,en	ena-doko	ena-doko	e n a + d o k o		185		140	adentro del agua	
1516	Cavinena	*adentro,en	e-duku-hu	e-duku-hu	e + d u k u + h u		185	Armentia1887	140	interno	
1517	EseEjja	*adentro,en	e-doxo-ho	e-doxo-ho	e + d o x o + h o		185		140	adentro,en	
1518	EseEjja	*adentro,en	e-kii-doxo-ho	e-kii-doxo-ho	e + k i i + d o x o + h o		185		140	en la casa	
1519	EseEjja	*adentro,en	e-doxo-šawa	e-doxo-šawa	e + d o x o + ʃ a w a		185		140	espíritu	
1520	EseEjja	*adentro,en	e-doxo-xáni-xi	e-doxo-xáni-xi	e + d o x o + x á/a n i + x i		185		140	costillas	
1521	EseEjja	*adentro,en	e-sapa-doxo	e-sapa-doxo	e + s a p a + d o x o		185		140	seso	
1522	Huarayo	*adentro,en	doho-	doho-	d o h o		185		140	llenar	
2697	ProtoTakana	*adjective suffix	-me	-me	m e	productive	16		283	adjective suffix	
2698	Tacana	*adjective suffix	-me	-me	m e	rare	16		283	adjective suffix	
2699	Reyesano	*adjective suffix	-me	-me	m e	productive	16		283	adjective suffix	
2700	Maropa	*adjective suffix	-me	-me	m e	productive	16		283	adjective suffix	
2701	Sapibokona	*adjective suffix	-me	-me	m e	productive	16		283	adjective suffix	
1357	ProtoTakana	*adjectivizing suffix	da	da	d a		169		127	adjectivizing suffix	
1358	Tacana	*adjectivizing suffix	-da	-da	d a		169		127	adjectivizing suffix	
1359	Tacana	*adjectivizing suffix	da	da	d a		169		127	assertive particle	
1360	Cavinena	*adjectivizing suffix	-da	-da	d a		169		127	adjectivizing suffix	
2305	ProtoTakana	*afilado	kweru	kweru	kʷ e r u		273		239	afilado	
2306	Tacana	*afilado	keu-da	keu-da	k e u + d a		273		239	afilado	
2307	Cavinena	*afilado	kwero-da	kwero-da	kʷ e r o + d a		273		239	filoso	
2308	Cavinena	*afilado	kwero-da-ma	kwero-da-ma	kʷ e r o + d a + m a		273		239	muto (sin filo)	
2309	Cavinena	*afilado	kwero-	kwero-	kʷ e r o		273		239	hacer punta	
1795	ProtoTakana	*agarrar	ina-	ina-	i n a		208		166	agarrar	
1796	Tacana	*agarrar	ina-	ina-	i n a		208		166	agarrar	
1797	Tacana	*agarrar	ina-me	ina-me	i n a + m e		208	Armentia1887	166	hacer agarrar	
1798	Tacana	*agarrar	ina-ciu-a-ke	ina-ciu-a-ke	i n a + ʈʂ i u + a + k e		208	Armentia1887	166	cuidado	
1799	Tacana	*agarrar	ina-hi	ina-hi	i n a + h i		208	Armentia1887	166	agarrado	
1800	Cavinena	*agarrar	ina-	ina-	i n a		208		166	coger,salvar,sostener,agarrar	
1801	Cavinena	*agarrar	ina-ca-	ina-ca-	i n a + ts a		208		166	recibir,aceptar	
1802	Cavinena	*agarrar	e-ina-ke	e-ina-ke	e + i n a + k e		208	Armentia1887	166	asa	
1803	Cavinena	*agarrar	ina-ruma-hu	ina-ruma-hu	i n a + r u m a + h u		208	Armentia1887	166	completar,finalizar	
1804	EseEjja	*agarrar	iña-	iña-	i ɲ a		208		166	agarrar,recibir	
1805	EseEjja	*agarrar	iña-pee-	iña-pee-	i ɲ a + p e e		208		166	apretar	
1806	EseEjja	*agarrar	iña-pokwa-	iña-pokwa-	i ɲ a + p o kʷ a		208		166	encender (la lanterna)	
1807	EseEjja	*agarrar	iña-powi-	iña-powi-	i ɲ a + p o w i		208		166	estrujar	
1808	EseEjja	*agarrar	e-iña-šiwi-	e-iña-šiwi-	e + i ɲ a + ʃ i w i		208		166	arrugar	
1809	EseEjja	*agarrar	iña-wixio-	iña-wixio-	i ɲ a + w i x i o		208		166	soltar	
1810	EseEjja	*agarrar	iña-wooña-	iña-wooña-	i ɲ a + w o o ɲ a		208		166	atajar	
1811	EseEjja	*agarrar	iña-xasayo-	iña-xasayo-	i ɲ a + x a s a j o		208		166	exprimir	
1812	EseEjja	*agarrar	iña-xeki-	iña-xeki-	i ɲ a + x e k i		208		166	recibir	
1813	EseEjja	*agarrar	iña-yehea-	iña-yehea-	i ɲ a + j e h e a		208		166	empujar	
1814	EseEjja	*agarrar	iña-	iña-	i ɲ a		208		166	agarrar	
2046	ProtoTakana	*agent nominalizer suffix	-ke	-ke	k e		10		209	agent nominalizer suffix	
2047	Tacana	*agent nominalizer suffix	-he	-he	h e		10		209	agent nominalizer suffix	
2048	Cavinena	*agent nominalizer suffix	-ke	-ke	k e		10		209	nominalizing suffix \lo que _\	
4273	ProtoTakana	*agua	uwi	uwi	u w i	cf. *awi	461		451	agua	
4274	Tacana	*agua	y-awi	y-awi	j + a β i		461		451	agua	
4275	Tacana	*agua	y-awi-y-awi	y-awi-y-awi	j + a β i + j + a β i		461		451	ralo,como agua	
4276	Maropa	*agua	yúvi	yúvi	j ú/u β i		461	Heath1883 Nordenskiöld1905	451	water	
4277	Sapibokona	*agua	eubi	eubi	e u b i		461		451	acqua	
4278	Sapibokona	*agua	eubi-hûre	eubi-hûre	e u b i + h u r e		461		451	lago	
4279	Araona	*agua	euvi	euvi	e u β i		461		451	agua	
4280	Reyesano	*agua	y-obhi	y-obhi	j + o β i		461		451	water	
4281	Mabenaro	*agua	eowi	eowi	e o w i		461		451	water	
2864	ProtoTakana	*agua,lluvia,río	na+...	na+...	n a		327		305	agua,lluvia,río	
2865	Tacana	*agua,lluvia,río	e-na	e-na	e + n a		327		305	río	
2866	Tacana	*agua,lluvia,río	e-na-baki	e-na-baki	e + n a + b a k i		327		305	arroyo	
2867	Tacana	*agua,lluvia,río	e-na-bue	e-na-bue	e + n a + b u e		327		305	pozo en el río,remanso del río	
2868	Tacana	*agua,lluvia,río	e-na-sua-pa	e-na-sua-pa	e + n a + s u a + p a		327		305	marbella,ave come pato	
2869	Tacana	*agua,lluvia,río	na-pudu-	na-pudu-	n a + p u d u		327		305	exprimar	
2870	Tacana	*agua,lluvia,río	na-wacu-	na-wacu-	n a + w a ʈʂ u		327		305	exprimar (por torciendo)	
2871	Tacana	*agua,lluvia,río	acu-na	acu-na	a ʈʂ u + n a		327		305	leche	
2872	Tacana	*agua,lluvia,río	e-na-kwaca	e-na-kwaca	e + n a + kʷ a ʈʂ a		327	Armentia1887	305	desemboque,junta de río	
2873	Tacana	*agua,lluvia,río	e-na-mahe	e-na-mahe	e + n a + m a h e		327	Armentia1887	305	en la orilla del río	
2874	Tacana	*agua,lluvia,río	na-da	na-da	n a + d a		327	Armentia1887	305	aguanoso	
2875	Tacana	*agua,lluvia,río	na-pada-na-pada	na-pada-na-pada	n a + p a d a + n a + p a d a		327	Armentia1887	305	agua turbida	
2876	Tacana	*agua,lluvia,río	napa-napa	napa-napa	n a p a + n a p a		327	Armentia1887	305	húmedo	
2877	Tacana	*agua,lluvia,río	napa-pata	napa-pata	n a p a + p a t a		327	Armentia1887	305	medio húmedo	
2878	Tacana	*agua,lluvia,río	ha-na-pa-ti	ha-na-pa-ti	h a + n a + p a + t i		327	Armentia1887	305	humedecer	
2879	Reyesano	*agua,lluvia,río	e-na-mbakwi	e-na-mbakwi	e + n a + m b a kʷ i		327		305	stream	
2880	Cavinena	*agua,lluvia,río	e-na	e-na	e + n a		327		305	agua	
2881	Cavinena	*agua,lluvia,río	e-na-kata	e-na-kata	e + n a + k a t a		327		305	mojado	
2882	Cavinena	*agua,lluvia,río	e-na-paya	e-na-paya	e + n a + p a j a		327		305	llanto	
